Symptoms,Disease Predictions
"Chills, Cough, High fever, Breathlessness",Pneumonia
"Chills, Fatigue, High fever, Breathlessness",Pneumonia
"Chills, Fatigue, Cough, Breathlessness",Pneumonia
"Chills, Fatigue, Cough, High fever",Pneumonia
"Chills, Fatigue, Cough, High fever",Pneumonia
"Chills, Fatigue, Cough, High fever",Pneumonia
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Pain during bowel movements, Pain in anal region, Bloody stool, Irritation in anus",Dimorphic hemmorhoids(piles)
"Constipation, Pain in anal region, Bloody stool, Irritation in anus",Dimorphic hemmorhoids(piles)
"Constipation, Pain during bowel movements, Bloody stool, Irritation in anus",Dimorphic hemmorhoids(piles)
"Constipation, Pain during bowel movements, Pain in anal region, Irritation in anus",Dimorphic hemmorhoids(piles)
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Vomiting, Breathlessness, Sweating, Chest pain",Heart attack
"Vomiting, Breathlessness, Sweating, Chest pain",Heart attack
"Breathlessness, Sweating, Chest pain",Heart attack
"Vomiting, Sweating, Chest pain",Heart attack
"Vomiting, Breathlessness, Chest pain",Heart attack
"Vomiting, Breathlessness, Sweating",Heart attack
"Vomiting, Breathlessness, Sweating, Chest pain",Heart attack
"Breathlessness, Sweating, Chest pain",Heart attack
"Vomiting, Sweating, Chest pain",Heart attack
"Vomiting, Breathlessness, Chest pain",Heart attack
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Cramps, Bruising, Obesity, Swollen legs",Varicose veins
"Fatigue, Bruising, Obesity, Swollen legs",Varicose veins
"Fatigue, Cramps, Obesity, Swollen legs",Varicose veins
"Fatigue, Cramps, Bruising, Swollen legs",Varicose veins
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Weight gain, Cold hands and feets, Mood swings, Lethargy",Hypothyroidism
"Weight gain, Cold hands and feets, Mood swings, Lethargy",Hypothyroidism
"Fatigue, Cold hands and feets, Mood swings, Lethargy",Hypothyroidism
"Fatigue, Weight gain, Mood swings, Lethargy",Hypothyroidism
"Fatigue, Weight gain, Cold hands and feets, Lethargy",Hypothyroidism
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Mood swings, Weight loss, Restlessness, Sweating",Hyperthyroidism
"Fatigue, Weight loss, Restlessness, Sweating",Hyperthyroidism
"Fatigue, Mood swings, Restlessness, Sweating",Hyperthyroidism
"Fatigue, Mood swings, Weight loss, Sweating",Hyperthyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Fatigue, Anxiety, Sweating, Headache",Hypoglycemia
"Vomiting, Anxiety, Sweating, Headache",Hypoglycemia
"Vomiting, Fatigue, Sweating, Headache",Hypoglycemia
"Vomiting, Fatigue, Anxiety, Headache",Hypoglycemia
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Neck pain, Knee pain, Hip joint pain, Swelling joints",Osteoarthristis
"Joint pain, Knee pain, Hip joint pain, Swelling joints",Osteoarthristis
"Joint pain, Neck pain, Hip joint pain, Swelling joints",Osteoarthristis
"Joint pain, Neck pain, Knee pain, Swelling joints",Osteoarthristis
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Stiff neck, Swelling joints, Movement stiffness, Painful walking",Arthritis
"Muscle weakness, Swelling joints, Movement stiffness, Painful walking",Arthritis
"Muscle weakness, Stiff neck, Movement stiffness, Painful walking",Arthritis
"Muscle weakness, Stiff neck, Swelling joints, Painful walking",Arthritis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Headache, Nausea, Spinning movements, Loss of balance",(vertigo) Paroymsal  Positional Vertigo
"Vomiting, Nausea, Spinning movements, Loss of balance",(vertigo) Paroymsal  Positional Vertigo
"Vomiting, Headache, Spinning movements, Loss of balance",(vertigo) Paroymsal  Positional Vertigo
"Vomiting, Headache, Nausea, Loss of balance",(vertigo) Paroymsal  Positional Vertigo
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Vomiting, Headache, Nausea, Loss of balance",(vertigo) Paroymsal  Positional Vertigo
"Skin rash, Pus filled pimples, Blackheads, Scurring",Acne
"Skin rash, Pus filled pimples, Blackheads, Scurring",Acne
"Pus filled pimples, Blackheads, Scurring",Acne
"Skin rash, Blackheads, Scurring",Acne
"Skin rash, Pus filled pimples, Scurring",Acne
"Skin rash, Pus filled pimples, Blackheads",Acne
"Skin rash, Pus filled pimples, Blackheads, Scurring",Acne
"Skin rash, Pus filled pimples, Blackheads",Acne
"Skin rash, Pus filled pimples, Scurring",Acne
"Skin rash, Blackheads, Scurring",Acne
"Burning micturition, Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Burning micturition, Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Burning micturition, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Burning micturition, Bladder discomfort, Continuous feel of urine",Urinary tract infection
"Burning micturition, Bladder discomfort, Foul smell of Urine",Urinary tract infection
"Burning micturition, Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Burning micturition, Bladder discomfort, Continuous feel of urine",Urinary tract infection
"Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Burning micturition, Bladder discomfort, Continuous feel of urine",Urinary tract infection
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Joint pain, Skin peeling, Silver like dusting, Small dents in nails",Psoriasis
"Skin rash, Skin peeling, Silver like dusting, Small dents in nails",Psoriasis
"Skin rash, Joint pain, Silver like dusting, Small dents in nails",Psoriasis
"Skin rash, Joint pain, Skin peeling, Small dents in nails",Psoriasis
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"High fever, Blister, Red sore around nose, Yellow crust ooze",Impetigo
"Skin rash, Blister, Red sore around nose, Yellow crust ooze",Impetigo
"Skin rash, Blister, Red sore around nose, Yellow crust ooze",Impetigo
"Skin rash, High fever, Red sore around nose, Yellow crust ooze",Impetigo
"Skin rash, High fever, Blister, Yellow crust ooze",Impetigo
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"Skin rash, Blister, Red sore around nose, Yellow crust ooze",Impetigo
"Itching, Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Itching, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Itching, Skin rash, Dischromic  patches",Fungal infection
"Itching, Skin rash, Nodal skin eruptions",Fungal infection
"Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Itching, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Itching, Skin rash, Dischromic  patches",Fungal infection
"Itching, Skin rash, Nodal skin eruptions",Fungal infection
"Itching, Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Shivering, Chills, Watering from eyes",Allergy
"Continuous sneezing, Chills, Watering from eyes",Allergy
"Continuous sneezing, Shivering, Watering from eyes",Allergy
"Continuous sneezing, Shivering, Chills",Allergy
"Shivering, Chills, Watering from eyes",Allergy
"Continuous sneezing, Chills, Watering from eyes",Allergy
"Continuous sneezing, Shivering, Watering from eyes",Allergy
"Continuous sneezing, Shivering, Chills",Allergy
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Stomach pain, Ulcers on tongue, Vomiting, Cough",GERD
"Stomach pain, Acidity, Vomiting, Cough",GERD
"Stomach pain, Acidity, Ulcers on tongue, Cough",GERD
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Acidity, Ulcers on tongue, Vomiting, Cough",GERD
"Stomach pain, Ulcers on tongue, Vomiting, Cough",GERD
"Stomach pain, Acidity, Vomiting, Cough",GERD
"Stomach pain, Acidity, Ulcers on tongue, Cough",GERD
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Vomiting, Yellowish skin, Nausea, Loss of appetite",Chronic cholestasis
"Itching, Yellowish skin, Nausea, Loss of appetite",Chronic cholestasis
"Itching, Vomiting, Nausea, Loss of appetite",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Loss of appetite",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Itching, Stomach pain, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Stomach pain, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Skin rash, Stomach pain, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Stomach pain, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Stomach pain, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Vomiting, Loss of appetite, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Vomiting, Indigestion, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Indigestion, Loss of appetite, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Vomiting, Loss of appetite, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Vomiting, Indigestion, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Passage of gases",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Patches in throat, High fever, Extra marital contacts",AIDS
"Muscle wasting, High fever, Extra marital contacts",AIDS
"Muscle wasting, Patches in throat, Extra marital contacts",AIDS
"Muscle wasting, Patches in throat, High fever",AIDS
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Patches in throat, High fever, Extra marital contacts",AIDS
"Muscle wasting, High fever, Extra marital contacts",AIDS
"Muscle wasting, Patches in throat, High fever",AIDS
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Weight loss, Restlessness, Lethargy, Irregular sugar level",Diabetes
"Fatigue, Restlessness, Lethargy, Irregular sugar level",Diabetes
"Fatigue, Weight loss, Lethargy, Irregular sugar level",Diabetes
"Fatigue, Weight loss, Restlessness, Irregular sugar level",Diabetes
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Sunken eyes, Diarrhoea",Gastroenteritis
"Vomiting, Sunken eyes, Dehydration",Gastroenteritis
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Sunken eyes, Diarrhoea",Gastroenteritis
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Cough, High fever, Breathlessness, Family history",Bronchial Asthma
"Fatigue, High fever, Breathlessness, Family history",Bronchial Asthma
"Fatigue, Cough, Breathlessness, Family history",Bronchial Asthma
"Fatigue, Cough, High fever, Family history",Bronchial Asthma
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Cough, High fever, Breathlessness, Family history",Bronchial Asthma
"Fatigue, High fever, Breathlessness, Family history",Bronchial Asthma
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Chest pain, Dizziness, Loss of balance, Lack of concentration",Hypertension
"Headache, Dizziness, Loss of balance, Lack of concentration",Hypertension
"Headache, Chest pain, Loss of balance, Lack of concentration",Hypertension
"Headache, Chest pain, Dizziness, Lack of concentration",Hypertension
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Chest pain, Dizziness, Loss of balance, Lack of concentration",Hypertension
"Headache, Dizziness, Loss of balance, Lack of concentration",Hypertension
"Headache, Chest pain, Loss of balance, Lack of concentration",Hypertension
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Indigestion, Headache, Blurred and distorted vision, Excessive hunger",Migraine
"Acidity, Headache, Blurred and distorted vision, Excessive hunger",Migraine
"Acidity, Indigestion, Blurred and distorted vision, Excessive hunger",Migraine
"Acidity, Indigestion, Headache, Excessive hunger",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Weakness in limbs, Neck pain, Dizziness, Loss of balance",Cervical spondylosis
"Back pain, Neck pain, Dizziness, Loss of balance",Cervical spondylosis
"Back pain, Weakness in limbs, Dizziness, Loss of balance",Cervical spondylosis
"Back pain, Weakness in limbs, Neck pain, Loss of balance",Cervical spondylosis
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Weakness in limbs, Neck pain, Dizziness, Loss of balance",Cervical spondylosis
"Back pain, Neck pain, Dizziness, Loss of balance",Cervical spondylosis
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Headache, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Headache, Weakness of one body side",Paralysis (brain hemorrhage)
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Headache, Altered sensorium",Paralysis (brain hemorrhage)
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Vomiting, Fatigue, Weight loss, High fever",Jaundice
"Itching, Fatigue, Weight loss, High fever",Jaundice
"Itching, Vomiting, Weight loss, High fever",Jaundice
"Itching, Vomiting, Fatigue, High fever",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Chills, Vomiting, High fever, Sweating",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Vomiting, High fever, Sweating, Headache",Malaria
"Chills, High fever, Sweating, Headache",Malaria
"Chills, Vomiting, Sweating, Headache",Malaria
"Chills, Vomiting, High fever, Headache",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Fatigue, Lethargy, High fever",Chicken pox
"Itching, Fatigue, Lethargy, High fever",Chicken pox
"Itching, Skin rash, Lethargy, High fever",Chicken pox
"Itching, Skin rash, Fatigue, High fever",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Joint pain, Vomiting, Fatigue",Dengue
"Skin rash, Joint pain, Vomiting, Fatigue",Dengue
"Skin rash, Chills, Vomiting, Fatigue",Dengue
"Skin rash, Chills, Joint pain, Fatigue",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Fatigue, High fever, Headache",Typhoid
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Vomiting, Yellowish skin, Dark urine, Nausea",hepatitis A
"Joint pain, Yellowish skin, Dark urine, Nausea",hepatitis A
"Joint pain, Vomiting, Dark urine, Nausea",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Nausea",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Lethargy, Yellowish skin, Dark urine",Hepatitis B
"Itching, Lethargy, Yellowish skin, Dark urine",Hepatitis B
"Itching, Fatigue, Yellowish skin, Dark urine",Hepatitis B
"Itching, Fatigue, Lethargy, Dark urine",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Yellowish skin, Nausea, Loss of appetite, Yellowing of eyes",Hepatitis C
"Fatigue, Nausea, Loss of appetite, Yellowing of eyes",Hepatitis C
"Fatigue, Yellowish skin, Loss of appetite, Yellowing of eyes",Hepatitis C
"Fatigue, Yellowish skin, Nausea, Yellowing of eyes",Hepatitis C
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Vomiting, Fatigue, Yellowish skin, Dark urine",Hepatitis D
"Joint pain, Fatigue, Yellowish skin, Dark urine",Hepatitis D
"Joint pain, Vomiting, Yellowish skin, Dark urine",Hepatitis D
"Joint pain, Vomiting, Fatigue, Dark urine",Hepatitis D
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Vomiting, Fatigue, High fever, Yellowish skin",Hepatitis E
"Joint pain, Fatigue, High fever, Yellowish skin",Hepatitis E
"Joint pain, Vomiting, High fever, Yellowish skin",Hepatitis E
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis E
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Yellowish skin, Abdominal pain, Swelling of stomach, Distention of abdomen",Alcoholic hepatitis
"Vomiting, Abdominal pain, Swelling of stomach, Distention of abdomen",Alcoholic hepatitis
"Vomiting, Yellowish skin, Swelling of stomach, Distention of abdomen",Alcoholic hepatitis
"Vomiting, Yellowish skin, Abdominal pain, Distention of abdomen",Alcoholic hepatitis
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Vomiting, Fatigue, Weight loss, Cough",Tuberculosis
"Chills, Fatigue, Weight loss, Cough",Tuberculosis
"Chills, Vomiting, Weight loss, Cough",Tuberculosis
"Chills, Vomiting, Fatigue, Cough",Tuberculosis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Chills, Fatigue, Cough, High fever",Common Cold
"Continuous sneezing, Fatigue, Cough, High fever",Common Cold
"Continuous sneezing, Chills, Cough, High fever",Common Cold
"Continuous sneezing, Chills, Fatigue, High fever",Common Cold
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Chills, Fatigue, Cough, High fever",Pneumonia
"Chills, Fatigue, Cough, High fever",Pneumonia
"Chills, Fatigue, Cough, High fever",Pneumonia
"Fatigue, Cough, High fever, Breathlessness",Pneumonia
"Chills, Cough, High fever, Breathlessness",Pneumonia
"Chills, Fatigue, High fever, Breathlessness",Pneumonia
"Chills, Fatigue, Cough, Breathlessness",Pneumonia
"Chills, Fatigue, Cough, High fever",Pneumonia
"Chills, Fatigue, Cough, High fever",Pneumonia
"Chills, Fatigue, Cough, High fever",Pneumonia
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
